model	label	scc	pcc	mse	mae	r2	color	alpha
pcv2_1	valid	0.5776388858057971	0.567761116233746	0.2592472587837927	0.38457222654762835	0.32082452787214566	C0	0.4
pcv2_1	test	0.6296413998088447	0.6056846135126704	0.39932651861815094	0.4895023167530212	0.26632181269388744	C0	0.4
pcv2_2	valid	0.6244557934901928	0.6200145869912047	0.2369087917489812	0.36589284245912373	0.37934680103389795	C0	0.7
pcv2_2	test	0.6340534974950703	0.6165485963205559	0.37705346763507774	0.4708635028762469	0.307243842434326	C0	0.7
pcv2_3	valid	0.6290895999932598	0.623771840713505	0.23844904462966052	0.3686360615587837	0.3753116494865325	C0	1.0
pcv2_3	test	0.6328807569059083	0.6191810883498104	0.3636002995711218	0.465445497515491	0.3319611990297341	C0	1.0
agront	valid	0.5693282727428273	0.547955185813723	0.26913211251976066	0.3945309368263775	0.29492820698321465	gray	1.0
agront	test	0.61644044325393	0.5915092224732403	0.4012281008625465	0.492474290627584	0.26282805670966314	gray	1.0
sup_pcv2_1	valid	0.48430939098129555	0.47313641764969644	0.2989232544005097	0.4147675076988207	0.2168814305312411	C1	1.0
sup_pcv2_1	test	0.5516833801219246	0.5461098548361196	0.44024708675668156	0.5161733705483341	0.1911389063361909	C1	1.0
cnn_lstm	valid	0.4964212354321576	0.47394023779060757	0.30088752125300844	0.4177484335766412	0.2117354479924496	C1	0.5
cnn_lstm	test	0.559328255353189	0.5446615249630827	0.4255253544005692	0.5089772828895986	0.21818698204730225	C1	0.5
