model	label	scc	pcc	mse	mae	color	alpha
pcv2_1	valid	0.569844633400261	0.557019596887519	0.32226514920250876	0.43703369094187694	C0	0.4
pcv2_1	test	0.6584562097797985	0.6531781573602145	0.47250526455759034	0.5621346533469954	C0	0.4
pcv2_2	valid	0.6004966049387481	0.5923532663668648	0.3026543669000346	0.4251503312945893	C0	0.7
pcv2_2	test	0.6759346786527178	0.6700857775822562	0.4340033680780545	0.5364321198348102	C0	0.7
pcv2_3	valid	0.6183821259726962	0.6105699267428798	0.2927426786278065	0.41757848001934145	C0	1.0
pcv2_3	test	0.6883357593231332	0.6839917783510369	0.41310459881957806	0.5232685348564369	C0	1.0
agront	valid	0.5582034456730435	0.5441658001606607	0.32841410364230217	0.44249324402349777	gray	1.0
agront	test	0.6394816946664005	0.6325571429346047	0.4819580145408364	0.5697686157897528	gray	1.0
sup_pcv2_1	valid	0.458046910934023	0.45128662575400114	0.3781818134140658	0.48159558552162623	C1	1.0
sup_pcv2_1	test	0.5808045454184305	0.5825455138776426	0.5298606848677552	0.6036412144763209	C1	1.0
cnn_lstm	valid	0.464915146373467	0.46007162463204937	0.3680133925309277	0.4784873538097421	C1	0.5
cnn_lstm	test	0.5510469935427277	0.556030902751478	0.5188663697907772	0.602682165494555	C1	0.5
